Card,Date,Description,Amount,Category
Blue Cash Preferred®,12/31/2023,AplPay WHOLEFDS CRB ANN ARBOR           MI,46.56,Uncategorized
Blue Cash Preferred®,12/30/2023,AplPay TRADER JOE S ANN ARBOR           MI,32.92,Uncategorized
Blue Cash Preferred®,12/29/2023,AplPay NYCT PAYGO   NEW YORK            NY,2.9,Uncategorized
Blue Cash Preferred®,12/29/2023,AplPay STOP & SHOP 2SPRINGFIELD G       NY,10.88,Uncategorized
Blue Cash Preferred®,12/08/2023,APPLE.COM/BILL      INTERNET CHARGE     CA,9.99,Uncategorized
Blue Cash Preferred®,11/26/2023,AplPay LAZ PKG ONLINHARTFORD            CT,2.6,Uncategorized
Blue Cash Preferred®,11/19/2023,AplPay TRADER JOE S ANN ARBOR           MI,27.92,Uncategorized
Blue Cash Preferred®,11/18/2023,AplPay VENTRA ACCOUNCHICAGO             IL,2.5,Uncategorized
Blue Cash Preferred®,11/11/2023,AplPay VENTRA ACCOUNCHICAGO             IL,2.25,Uncategorized
Blue Cash Preferred®,11/08/2023,APPLE.COM/BILL      INTERNET CHARGE     CA,9.99,Uncategorized
Blue Cash Preferred®,10/28/2023,AplPay TRADER JOE S ANN ARBOR           MI,36.51,Uncategorized
Blue Cash Preferred®,10/25/2023,SUBURBAN COLLECTION NOVI                MI,10.0,Uncategorized
Blue Cash Preferred®,10/21/2023,SP KUIPERS FARM     MAPLE PARK          IL,11.02,Uncategorized
Blue Cash Preferred®,10/20/2023,AplPay VENTRA ACCOUNCHICAGO             IL,2.5,Uncategorized
Blue Cash Preferred®,10/20/2023,ITR CONCESSION COMPAELKHART             IN,1.7,Uncategorized
Blue Cash Preferred®,10/20/2023,ITR CONCESSION COMPAELKHART             IN,4.1,Uncategorized
Blue Cash Preferred®,10/20/2023,SKYWAY CONCESSIONS 0CHICAGO             IL,6.6,Uncategorized
Blue Cash Preferred®,10/19/2023,A2 PCI PARKING 82 RAIRVINE              CA,1.2,Uncategorized
Blue Cash Preferred®,10/14/2023,AplPay SPOTHERO 844-CHICAGO             IL,64.36,Uncategorized
Blue Cash Preferred®,10/09/2023,AplPay BUSCH'S VALU ANN ARBOR           MI,28.26,Uncategorized
Blue Cash Preferred®,10/09/2023,AplPay WHOLEFDS CRB ANN ARBOR           MI,51.75,Uncategorized
Blue Cash Preferred®,10/08/2023,APPLE.COM/BILL      INTERNET CHARGE     CA,9.99,Uncategorized
Blue Cash Preferred®,10/08/2023,AplPay BUSCH'S VALU ANN ARBOR           MI,35.42,Uncategorized
Blue Cash Preferred®,10/07/2023,A2 PCI PARKING 82 RAIRVINE              CA,2.4,Uncategorized
Blue Cash Preferred®,09/29/2023,AplPay TRADER JOE S ANN ARBOR           MI,49.44,Uncategorized
Blue Cash Preferred®,09/21/2023,AplPay WHOLEFDS CRB ANN ARBOR           MI,37.49,Uncategorized
Blue Cash Preferred®,09/09/2023,72881-400 RANDOLPH SCHICAGO             IL,40.0,Uncategorized
Blue Cash Preferred®,09/08/2023,APPLE.COM/BILL      INTERNET CHARGE     CA,9.99,Uncategorized
Blue Cash Preferred®,09/08/2023,AplPay ITR CONCESSIOELKHART             IN,1.7,Uncategorized
Blue Cash Preferred®,09/02/2023,AplPay KROGER       ANN ARBOR           MI,6.87,Uncategorized
Blue Cash Preferred®,09/01/2023,AplPay WHOLEFDS CRB ANN ARBOR           MI,14.99,Uncategorized
Blue Cash Preferred®,08/27/2023,BUSCH'S VALU LAND   ANN ARBOR           MI,15.34,Uncategorized
Blue Cash Preferred®,08/25/2023,AplPay TARGET       ANN ARBOR           MI,31.98,Uncategorized
Blue Cash Preferred®,08/25/2023,AplPay WHOLEFDS CRB ANN ARBOR           MI,11.65,Uncategorized
Blue Cash Preferred®,08/20/2023,AplPay SPOTHERO 844-CHICAGO             IL,52.75,Uncategorized
Blue Cash Preferred®,08/13/2023,AplPay TARGET       ANN ARBOR           MI,15.89,Uncategorized
Blue Cash Preferred®,08/13/2023,TRADER JOE S #678 00ANN ARBOR           MI,26.93,Uncategorized
Blue Cash Preferred®,08/12/2023,AplPay MEIJER # 064 877-363-4537        MI,6.88,Uncategorized
Blue Cash Preferred®,08/12/2023,AplPay WHOLEFDS CRB ANN ARBOR           MI,20.93,Uncategorized
Blue Cash Preferred®,08/08/2023,APPLE.COM/BILL      INTERNET CHARGE     CA,9.99,Uncategorized
Blue Cash Preferred®,08/06/2023,AplPay MEIJER # 064 877-363-4537        MI,8.22,Uncategorized
Blue Cash Preferred®,08/03/2023,TRADER JOE S #678 00ANN ARBOR           MI,43.89,Uncategorized
Blue Cash Preferred®,07/29/2023,AplPay TARGET       ANN ARBOR           MI,22.55,Uncategorized
Blue Cash Preferred®,07/23/2023,AplPay TARGET       GRANDVILLE          MI,-58.3,Uncategorized
Blue Cash Preferred®,07/23/2023,AplPay TARGET       GRANDVILLE          MI,3.57,Uncategorized
Blue Cash Preferred®,07/20/2023,AplPay TARGET       ANN ARBOR           MI,102.36,Uncategorized
Blue Cash Preferred®,07/19/2023,AplPay LYFT         855-280-0278        CA,65.3,Uncategorized
Blue Cash Preferred®,07/14/2023,AplPay TRADER JOE S BERKELEY            CA,3.99,Uncategorized
Blue Cash Preferred®,07/14/2023,BERKELEY BOWL PRODUCBERKELEY            CA,9.54,Uncategorized
Blue Cash Preferred®,07/12/2023,AplPay TARGET       EMERYVILLE          CA,15.17,Uncategorized
Blue Cash Preferred®,07/12/2023,FASTRAK CSC TOLLS   OAKLAND             CA,40.0,Uncategorized
Blue Cash Preferred®,07/11/2023,AplPay LAZ PARKING 6SAN FRANCISCO       CA,8.0,Uncategorized
Blue Cash Preferred®,07/08/2023,APPLE.COM/BILL      INTERNET CHARGE     CA,9.99,Uncategorized
Blue Cash Preferred®,07/07/2023,AplPay BERKELEY BOWLBERKELEY            CA,9.31,Uncategorized
Blue Cash Preferred®,07/05/2023,CVS/PHARMACY #10121 BERKELEY            CA,44.18,Uncategorized
Blue Cash Preferred®,07/01/2023,AplPay WHOLE FOODS MLA JOLLA            CA,15.98,Uncategorized
Blue Cash Preferred®,06/30/2023,AplPay TRADER JOE S BERKELEY            CA,30.65,Uncategorized
Blue Cash Preferred®,06/24/2023,AplPay BERKELEY BOWLBERKELEY            CA,18.06,Uncategorized
Blue Cash Preferred®,06/24/2023,AplPay H MART SAN FRSAN FRANCISCO       CA,48.52,Uncategorized
Blue Cash Preferred®,06/13/2023,AplPay TRADER JOE S BERKELEY            CA,19.27,Uncategorized
Blue Cash Preferred®,06/10/2023,APPLE.COM/BILL      INTERNET CHARGE     CA,0.99,Uncategorized
Blue Cash Preferred®,06/10/2023,OAKLAND PARK METER IOAKLAND             CA,1.5,Uncategorized
Blue Cash Preferred®,06/08/2023,APPLE.COM/BILL      INTERNET CHARGE     CA,9.99,Uncategorized
Blue Cash Preferred®,06/08/2023,AplPay PARKSMART    WALNUT CREEK        CA,1.5,Uncategorized
Blue Cash Preferred®,06/08/2023,FASTRAK CSC TOLLS   OAKLAND             CA,40.0,Uncategorized
Blue Cash Preferred®,06/03/2023,AplPay FLATBREAD QUEBerkeley            CA,25.0,Uncategorized
Blue Cash Preferred®,06/02/2023,APPLE.COM/BILL      INTERNET CHARGE     CA,0.99,Uncategorized
Blue Cash Preferred®,05/31/2023,AplPay TRADER JOE S BERKELEY            CA,5.47,Uncategorized
Blue Cash Preferred®,05/30/2023,AplPay TRADER JOE S BERKELEY            CA,11.35,Uncategorized
Blue Cash Preferred®,05/27/2023,PLATFORM 0000       CULVER CITY         CA,2.0,Uncategorized
Blue Cash Preferred®,05/26/2023,Amazon Prime        Amazon.com          WA,8.26,Uncategorized
Blue Cash Preferred®,05/24/2023,AMAZON.COM          AMZN.COM/BILL       WA,-31.4,Uncategorized
Blue Cash Preferred®,05/21/2023,AMAZON MARKEPLACE NA PA,22.04,Uncategorized
Blue Cash Preferred®,05/20/2023,AMAZON MARKEPLACE NA PA,15.42,Uncategorized
Blue Cash Preferred®,05/20/2023,TCB*MTA METER MTA I SAN FRANCISCO       CA,5.25,Uncategorized
Blue Cash Preferred®,05/17/2023,PRESIDIO-CALE PARK 0SAN FRANCISCO       CA,2.5,Uncategorized
Blue Cash Preferred®,05/16/2023,AMAZON.COM          AMZN.COM/BILL       WA,31.4,Uncategorized
Blue Cash Preferred®,05/14/2023,AplPay 99 RANCH MARKRICHMOND            CA,8.77,Uncategorized
Blue Cash Preferred®,05/14/2023,AplPay SUNSHINE FOODST HELENA           CA,4.98,Uncategorized
Blue Cash Preferred®,05/14/2023,AplPay SUNSHINE FOODST HELENA           CA,7.97,Uncategorized
Blue Cash Preferred®,05/12/2023,OAKLAND PARK METER IOAKLAND             CA,2.0,Uncategorized
Blue Cash Preferred®,05/12/2023,TRADER JOE S #231 00OAKLAND             CA,34.12,Uncategorized
Blue Cash Preferred®,05/11/2023,AplPay SPOTHERO 844-CHICAGO             IL,15.83,Uncategorized
Blue Cash Preferred®,05/09/2023,AplPay BERKELEY BOWLBERKELEY            CA,159.0,Uncategorized
Blue Cash Preferred®,05/09/2023,AplPay TOKYO FISH MKBERKELEY            CA,67.88,Uncategorized
Blue Cash Preferred®,05/07/2023,PIONEER MARKET 00000MARIPOSA            CA,82.51,Uncategorized
Blue Cash Preferred®,05/07/2023,YOSEMITE NP 00000880EL PORTAL           CA,35.0,Uncategorized
Blue Cash Preferred®,05/05/2023,AplPay WHOLE FOODS MBERKELEY            CA,39.37,Uncategorized
Blue Cash Preferred®,04/28/2023,AplPay TRADER JOE S BERKELEY            CA,23.81,Uncategorized
Blue Cash Preferred®,04/28/2023,AplPay TRADER JOE S BERKELEY            CA,47.9,Uncategorized
Blue Cash Preferred®,04/26/2023,Amazon Prime        Amazon.com          WA,8.26,Uncategorized
Blue Cash Preferred®,04/17/2023,AplPay TRADER JOE S BERKELEY            CA,3.99,Uncategorized
Blue Cash Preferred®,04/08/2023,AplPay SAFEWAY #1266TRUCKEE             CA,15.98,Uncategorized
Blue Cash Preferred®,04/07/2023,AplPay BERKELEY BOWLBERKELEY            CA,20.94,Uncategorized
Blue Cash Preferred®,04/02/2023,AplPay TRADER JOE S EMERYVILLE          CA,20.94,Uncategorized
Blue Cash Preferred®,03/26/2023,Amazon Prime        Amazon.com          WA,8.26,Uncategorized
Blue Cash Preferred®,03/20/2023,AplPay TRADER JOE S BERKELEY            CA,92.3,Uncategorized
Blue Cash Preferred®,03/05/2023,AplPay BERKELEY BOWLBERKELEY            CA,40.89,Uncategorized
Blue Cash Preferred®,03/04/2023,AplPay BERKELEY BOWLBERKELEY            CA,39.34,Uncategorized
Blue Cash Preferred®,02/26/2023,Amazon Prime        Amazon.com          WA,8.26,Uncategorized
Blue Cash Preferred®,02/16/2023,AplPay BERKELEY BOWLBERKELEY            CA,5.07,Uncategorized
Blue Cash Preferred®,02/15/2023,AplPay BERKELEY BOWLBERKELEY            CA,1.78,Uncategorized
Blue Cash Preferred®,02/15/2023,AplPay BERKELEY BOWLBERKELEY            CA,30.03,Uncategorized
Blue Cash Preferred®,02/03/2023,AplPay WHOLE FOODS MBERKELEY            CA,28.19,Uncategorized
Blue Cash Preferred®,02/01/2023,AplPay BERKELEY BOWLBERKELEY            CA,24.16,Uncategorized
Blue Cash Preferred®,01/29/2023,AplPay TRADER JOE'S EMERYVILLE          CA,21.96,Uncategorized
Blue Cash Preferred®,01/28/2023,AplPay BERKELEY BOWLBERKELEY            CA,1.99,Uncategorized
Blue Cash Preferred®,01/28/2023,AplPay BERKELEY BOWLBERKELEY            CA,73.21,Uncategorized
Blue Cash Preferred®,01/28/2023,AplPay TOKYO FISH MKBERKELEY            CA,146.05,Uncategorized
Blue Cash Preferred®,01/21/2023,AplPay 99 RANCH MARKRICHMOND            CA,49.73,Uncategorized
Blue Cash Preferred®,01/16/2023,AplPay BERKELEY BOWLBERKELEY            CA,74.07,Uncategorized
Blue Cash Preferred®,01/08/2023,AplPay BERKELEY BOWLBERKELEY            CA,142.09,Uncategorized
Blue Cash Preferred®,01/07/2023,AplPay TRADER JOE'S BERKELEY            CA,11.01,Uncategorized
Blue Cash Preferred®,01/05/2023,AplPay SAVE MART#626TAHOE CITY          CA,57.91,Uncategorized
Blue Cash Preferred®,01/02/2023,AplPay SAFEWAY #1266TRUCKEE             CA,40.75,Uncategorized
Blue Cash Preferred®,03/08/2024,APPLE.COM/BILL      INTERNET CHARGE     CA,9.99,Uncategorized
Blue Cash Preferred®,02/08/2024,APPLE.COM/BILL      INTERNET CHARGE     CA,9.99,Uncategorized
Blue Cash Preferred®,02/05/2024,AplPay MEIJER STORE HOLLAND             MI,2.32,Uncategorized
Blue Cash Preferred®,02/04/2024,AplPay TRADER JOE S ANN ARBOR           MI,38.92,Uncategorized
Blue Cash Preferred®,01/16/2024,AplPay WHOLEFDS CRB ANN ARBOR           MI,13.27,Uncategorized
Blue Cash Preferred®,01/15/2024,AplPay A2 PCI PARKINIRVINE              CA,2.4,Uncategorized
Blue Cash Preferred®,01/15/2024,AplPay MEIJER       GAYLORD             MI,55.22,Uncategorized
Blue Cash Preferred®,01/12/2024,AplPay MEIJER # 048 BAY CITY            MI,30.76,Uncategorized
Blue Cash Preferred®,01/08/2024,APPLE.COM/BILL      INTERNET CHARGE     CA,9.99,Uncategorized
Blue Cash Preferred®,01/05/2024,AplPay A2 PCI PARKINIRVINE              CA,2.4,Uncategorized
Delta SkyMiles® Gold Card,04/22/2024,AT&T UVERSE PAYMENT 8002882020          TX,55.22,Uncategorized
Delta SkyMiles® Gold Card,04/22/2024,USPS PO 2599760197 0YPSILANTI           MI,10.8,Uncategorized
Delta SkyMiles® Gold Card,04/20/2024,AplPay STARBUCKS    800-782-7282        WA,25.0,Uncategorized
Delta SkyMiles® Gold Card,04/18/2024,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-931.74,Uncategorized
Delta SkyMiles® Gold Card,04/18/2024,AMAZON.COM          AMZN.COM/BILL       WA,200.34,Uncategorized
Delta SkyMiles® Gold Card,04/18/2024,"AplPay ROSEWAY SUB, TAYLOR              MI",18.75,Uncategorized
Delta SkyMiles® Gold Card,04/17/2024,AplPay K&D BISTRO 00YPSILANTI           MI,13.73,Uncategorized
Delta SkyMiles® Gold Card,04/16/2024,"AplPay ROSEWAY SUB, TAYLOR              MI",11.65,Uncategorized
Delta SkyMiles® Gold Card,04/15/2024,"AplPay ROSEWAY SUB, TAYLOR              MI",11.65,Uncategorized
Delta SkyMiles® Gold Card,04/15/2024,AplPay TARGET       ANN ARBOR           MI,4.65,Uncategorized
Delta SkyMiles® Gold Card,04/15/2024,MOBILE PAYMENT - THANK YOU,-260.34,Uncategorized
